Ancien nom;Libellé;Code;Type;Description /role;OS;VLAN;Adresse IP;Adresse IP2;Adresse IP3;Adresse IP4;Adresse IP5;Adresse IP6;Adresse IP7;Adresse IP8;Adresse IP9;Adresse IP10;Adresse IP11;Virtualisation;Cluster;Site d'hébergement;Statut;Version Oracle;Supervisé;Type Serveur;Service BDD ;1_Code Appli;2_Libellé Appli
srv-prd-BddEfal;SRV-PRD-BDDEFAL;SRVP0158;Serveur Virtuel;BDD  application Multigest Social;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.34;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL117;MULTIGEST
srv-prd-bo2;SRV-PRD-BO2;SRVP0159;Serveur Virtuel;;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.14;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL033;BO
srv-prd-budget;SRV-PRD-BUDGET;SRVP0160;Serveur Virtuel;applications DGFIP Totem;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.32;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL193;TOTEM
srv-prd-courrier;SRV-PRD-COURRIER;SRVP0162;Serveur Virtuel;Frontal application courrier;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.45;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL272;AIRS COURRIER
srv-prd-delib;SRV-PRD-DELIB;SRVP0163;Serveur Virtuel;serveur applicatif AIRS DELIB;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.92;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL009;AIRS DELIB
srv-prd-diver19;SRV-PRD-DIVER19;SRVP0164;Serveur Virtuel;Divers pas en prod;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.186;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-prd-divers;SRV-PRD-DIVERS;SRVP0165;Serveur Virtuel;Serveur applicatifs C/S;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.25;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-prd-efalia;SRV-PRD-EFALIA;SRVP0167;Serveur Virtuel;Frontal application Multigest social;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.21;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL117;MULTIGEST
srv-prd-etl;SRV-PRD-ETL;SRVP0168;Serveur Virtuel;Serveur Talend ;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.27;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL188;TALEND
srv-prd-foreval;SRV-PRD-FOREVAL;SRVP0169;Serveur Virtuel;Frontal application FOEDERIS;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.37;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL067;FOEDERIS
srv-prd-foyer;SRV-PRD-FOYER;SRVP0170;Serveur Virtuel;Serveur Foyer  enfance pointeuse et planning;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.46;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;à créer;
srv-prd-gf20;SRV-PRD-GF20;SRVP0172;Serveur Virtuel;Frontal gestion financiere;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.46;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL020;ASTRE-GF
srv-svi1;SRV-SVI1;SRVP0249;Serveur Virtuel;TOIP;Linux Debian 8 (32b);;172.29.1.214;;;;;;;;;;;VMWARE;TOIP;Virtuel;;NA;Oui;PRD;;à créer;à rattacher à Cisco? À créer
srv-prd-gfd;SRV-PRD-GFD;SRVP0174;Serveur Virtuel;Frontal application  Frais deplacement GFD;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.55;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL069;FRAISDEP
srv-prd-gfedi20;SRV-PRD-GFEDI20;SRVP0175;Serveur Virtuel;Gestion financiere;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.47;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL020;ASTRE-GF
srv-prd-gfgecco;SRV-PRD-GFGECCO;SRVP0177;Serveur Virtuel;Gestion financiere;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.23;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL073;GECCO-PARAPHEUR
srv-svi3;SRV-SVI3;SRVP0250;Serveur Virtuel;TOIP;Linux Debian 8 (32b);;172.29.1.216;;;;;;;;;;;VMWARE;TOIP;Virtuel;;NA;Oui;PRD;;à créer;à rattacher à Cisco? À créer
srv-prd-gta(19-11-2020);SRV-PRD-GTA(19-11-2020);SRVP0179;Serveur Virtuel;Frontal application Chronos;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.94;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL043;CHRONOS
srv-int-ii2;SRV-INT-II2;SRVP0149;Serveur Virtuel;;Linux Debian 8 (64b);VLAN72 SI;172.16.22.19;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-prd-imp19;SRV-PRD-IMP19;SRVP0181;Serveur Virtuel;serveur impression & Papercut;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.162;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;infra imp
srv-prd-intrawe;SRV-PRD-INTRAWE;SRVP0182;Serveur Virtuel; web  rsa.fr et electranet;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.81;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;à créer;
srv-prd-mysql;SRV-PRD-MYSQL;SRVP0193;Serveur Virtuel;BDD mutu ?;Linux Debian 8 (64b);VLAN72 SI;172.16.21.22;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-prd-kadri;SRV-PRD-KADRI;SRVP0185;Serveur Virtuel;Frontal application Kadri;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.42;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL140;SIGNAL Projet, Gestion shéma directeur
srv-prd-kentika;SRV-PRD-KENTIKA;SRVP0186;Serveur Virtuel;Application et bd kentika;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.119;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL101;KENTIKA
srv-prd-licence;SRV-PRD-LICENCE;SRVP0187;Serveur Virtuel;serveur licences SIG Geomensura;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.54;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL110;MENSURA Génius
srv-prod-ii1;SRV-PROD-II1;SRVP0221;Serveur Virtuel;serveur web de test;Linux Debian 8 (64b);VLAN72 SI;172.16.21.1;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-prd-logiclic;SRV-PRD-LOGICLIC;SRVP0189;Serveur Virtuel;serveur sql application logiclic   à préciser Thierry;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.24.2;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;à créer;
srv-prd-mail16;SRV-PRD-MAIL16;SRVP0190;Serveur Virtuel; serveur de messagerie exchange 2016;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.121;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;infra exchange
srv-prd-mcafee1;SRV-PRD-MCAFEE1;SRVP0191;Serveur Virtuel;Serveur AV NAS;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.39;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;infra antivirus
SRV-PRD-MSQL19;SRV-PRD-MSQL19;SRVP0192;Serveur Virtuel;BDD sql server 2019;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.44;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-prod-ii2;SRV-PROD-II2;SRVP0222;Serveur Virtuel;Monintranet et sites variés ;Linux Debian 8 (64b);VLAN72 SI;172.16.21.2;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;à rattacher à Mon Intranet? Autres sites?
srv-prod-ii4;SRV-PROD-II4;SRVP0224;Serveur Virtuel;Web serveur GIT;Linux Debian 8 (64b);VLAN72 SI;172.16.21.4;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;à créer;
srv-preprod-ii1;SRV-PREPROD-II1;SRVR0100;Serveur Virtuel;;Linux Debian 8 (64b);VLAN72 SI;172.16.22.21;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRE;;;
srv-prd-pff;SRV-PRD-PFF;SRVP0196;Serveur Virtuel;serveur API SOLIS /  solatis;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.19;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;à rattacher à SOLIS-AST?
srv-prd-photo;SRV-PRD-PHOTO;SRVP0197;Serveur Virtuel;serveur application AJARIS photos communication;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.10;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL109;AJARIS - Médiathèque d’entreprise
srv-prd-plano;SRV-PRD-PLANO;SRVP0198;Serveur Virtuel;Frontal application Planoteam;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.189;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL125;PLANOTEAM
srv-prd-progos;SRV-PRD-PROGOS;SRVP0199;Serveur Virtuel;serveur application PROGOS;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.144;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL129;PROGOS
srv-prd-psoc;SRV-PRD-PSOC;SRVP0201;Serveur Virtuel;Serveur Portail social agents;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.134;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL212;SOLIS - Portail Agent
srv-prd-rsa;SRV-PRD-RSA;SRVP0202;Serveur Virtuel;Frontal application SOLIS RSA;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.202;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL157;SOLIS - RSA
srv-prd-rsaedt;SRV-PRD-RSAEDT;SRVP0203;Serveur Virtuel;Serveur editique RSA;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.242;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL157;SOLIS - RSA
srv-prd-sccmCB;SRV-PRD-SCCMCB;SRVP0204;Serveur Virtuel;serveur SCCM;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.59;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;infra sccm
srv-prd-servpilot;SRV-PRD-SERVPILOT;SRVP0205;Serveur Virtuel;serveur de supervision;Microsoft Windows Server 2012 R2 (64b);;172.29.1.35;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL274;Service Pilot
srv-prd-sma1-rest;SRV-PRD-SMA1-REST;SRVP0206;Serveur Virtuel;ordonnanceur Opconn noeud principal;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.30;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;à créer;
srv-prd-sma2;SRV-PRD-SMA2;SRVP0207;Serveur Virtuel;ordonnanceur Opconn noeud secondaire;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.31;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;à créer;
srv-prd-soc;SRV-PRD-SOC;SRVP0208;Serveur Virtuel;serveur applicatif social  ? A decommissioner ?;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.51;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL154;SOLIS - ASG?
srv-prd-socedt;SRV-PRD-SOCEDT;SRVP0209;Serveur Virtuel;serveur applicatif social  ? A decommissioner ?;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.52;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL154;SOLIS - ASG?
srv-prd-sondearch;SRV-PRD-SONDEARCH;SRVP0210;Serveur Virtuel;Serveur sondes hygro archives departementales;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.190;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-preprod-ii2;SRV-PREPROD-II2;SRVR0101;Serveur Virtuel;;Linux Debian 8 (64b);VLAN72 SI;172.16.22.29;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRE;;;
srv-rec-ii1;SRV-REC-II1;SRVR0107;Serveur Virtuel;;Linux Debian 8 (64b);VLAN72 SI;172.16.20.190;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-prd-telios;SRV-PRD-TELIOS;SRVP0213;Serveur Virtuel;Frontal application TELIOS ( paierie deparetementale);Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.35;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL165;TELIOS
srv-arch-doc1 (linux);SRV-ARCH-DOC1 (LINUX);SRVP0137;Serveur Virtuel;Site archives departementalesbdd+ frontal;Linux Fedora 9 (32b);VLAN72 SI;172.16.20.151;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-arch-doc2 (linux);SRV-ARCH-DOC2 (LINUX);SRVP0138;Serveur Virtuel;Site archives departementales Frontal;Linux Fedora 9 (32b);VLAN72 SI;172.16.20.152;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-arch-doc3 (linux);SRV-ARCH-DOC3 (LINUX);SRVP0139;Serveur Virtuel;Site archives departementales BDD mysql;Linux Fedora 9 (32b);VLAN72 SI;172.16.20.153;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
;SRV-VIR-OVMCDP;HYPP0015;Hyperviseur;;Linux Oracle  VM Server  3.4.4 (64b);VLAN72 SI;172.16.25.170;;;;;;;;;;;NA;LAN;Croix de Pierre;;;;PRD;;;
;SRV-VIR-OVMSAR;HYPP0016;Hyperviseur;;Linux Oracle  VM Server  3.4.4 (64b);VLAN72 SI;172.16.25.171;;;;;;;;;;;NA;LAN;Sartel;;;;PRD;;;
SRV-PRD-OVMM_01072020;SRV-PRD-OVMM_01072020;SRVP0195;Serveur Virtuel;Vm de gestion OVM;Linux Oracle Linux 7 (64b);VLAN72 SI;172.16.25.173;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;infra OVM
SRV-PRD-ORAGF20;SRV-PRD-ORAGF20;SRVP0237;Serveur Virtuel;BDD mutu Applications Gestion financiere;Linux Oracle Linux 8 (64b);VLAN72 SI;172.16.21.53;;;;;;;;;;;OVM;OVM;Virtuel;;;Oui;PRD;ORACLE;APPL020;ASTRE-GF
;SRV-PRD-ORHORUS;SRVP0267;Serveur Virtuel;BDD  dédié Horus;Linux Oracle Linux 8 (64b);VLAN72 SI;172.16.21.58;;;;;;;;;;;OVM;OVM;Virtuel;;NA;Non;PRD;ORACLE;APPL087;HORUS
srv-tel-po1;SRV-TEL-PO1;SRVP0223;Serveur Virtuel;TOIP;Microsoft Windows Server 2008 R2 (64b);;172.29.1.102;;;;;;;;;;;VMWARE;TOIP;Virtuel;;NA;Non;PRD;;à créer;à rattacher à Cisco? À créer
SRV-TST-ORAGF20;SRV-TST-ORAGF20;SRVR0160;Serveur Virtuel;;Linux Oracle Linux 8 (64b);VLAN72 SI;172.16.22.42;;;;;;;;;;;OVM;OVM;Virtuel;;;Oui;TST;ORACLE;;
srv-prd-aad;SRV-PRD-AAD;SRVP0225;Serveur Virtuel;serveur Azure AD Connect;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.31;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL273;Active Directory
srv-prd-adfs1(16-11-2020);SRV-PRD-ADFS1(16-11-2020);SRVP0226;Serveur Virtuel;serveur adfd primaire;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.48;172.16.20.64;10.10.0.1;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL273;Active Directory
srv-prd-adfs2;SRV-PRD-ADFS2;SRVP0227;Serveur Virtuel;Serveur ADFS backup;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.49;172.16.20.64;10.10.0.2;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL273;Active Directory
SRV-APP-ATAL;SRV-APP-ATAL;SRVP0228;Serveur Virtuel;frontal application ATAL;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.192;;;;;;;;;;;OVM;OVM;Virtuel;;11;Oui;TST;ORACLE;APPL021;ATAL
SRV-APP-ICENTRE;SRV-APP-ICENTRE;SRVP0229;Serveur Virtuel;ancien serveur infocentre Social;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.146;;;;;;;;;;;OVM;OVM;Virtuel;;10;Oui;TST;ORACLE;APPL184;INFOCENTRE ASG
SRV-APP-ORACLE;SRV-APP-ORACLE;SRVP0230;Serveur Virtuel;BDD mutu ?;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.71;;;;;;;;;;;OVM;OVM;Virtuel;;10;Oui;PRD;ORACLE;;
SRV-PRD-BDDSIG;SRV-PRD-BDDSIG;SRVP0231;Serveur Virtuel;BDD dédié SIG;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.15;;;;;;;;;;;OVM;OVM;Virtuel;;12;Oui;PRD;ORACLE;;
SRV-PRD-DSD;SRV-PRD-DSD;SRVP0232;Serveur Virtuel;BDD mutu applications Solis;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.187;;;;;;;;;;;OVM;OVM;Virtuel;;12;Oui;PRD;ORACLE;APPL154;SOLIS - ASG
SRV-PRD-ICENTRE;SRV-PRD-ICENTRE;SRVP0233;Serveur Virtuel;BDD infocentre;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.231;;;;;;;;;;;OVM;OVM;Virtuel;;11;Oui;PRD;ORACLE;APPL184;INFOCENTRE ASG…?
SRV-PRD-ORA11;SRV-PRD-ORA11;SRVP0234;Serveur Virtuel;BDD Mutu;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.132;;;;;;;;;;;OVM;OVM;Virtuel;;11;Oui;PRD;ORACLE;;
SRV-PRD-ORA12;SRV-PRD-ORA12;SRVP0235;Serveur Virtuel;BDD Mutu;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.28;;;;;;;;;;;OVM;OVM;Virtuel;;12;Oui;PRD;ORACLE;;
SRV-PRD-ORACLE;SRV-PRD-ORACLE;SRVP0236;Serveur Virtuel;BDD dédié  ;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.233;;;;;;;;;;;OVM;OVM;Virtuel;;11;Oui;PRD;ORACLE;;
;SRV-TST-ORHORUS;SRVR0177;Serveur Virtuel;;Linux Oracle Linux 8 (64b);VLAN72 SI;172.16.22.58;;;;;;;;;;;OVM;OVM;Virtuel;;NA;Non;TST;ORACLE;;
SRV-PRD-ORAPIM2;SRV-PRD-ORAPIM2;SRVP0238;Serveur Virtuel;BDD application MILPAT;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.182;;;;;;;;;;;OVM;OVM;Virtuel;;12;Oui;PRD;ORACLE;APPL114;MILPAT
SRV-PRD-SIG;SRV-PRD-SIG;SRVP0239;Serveur Virtuel;BDD et applicatif geocortex;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.15;;;;;;;;;;;OVM;OVM;Virtuel;;10;Oui;PRD;ORACLE;APPL074;GeoCortex
;SRV-TST-ORALINUX;SRVR0183;Serveur Virtuel;;Linux Oracle Linux 8 (64b);VLAN72 SI;172.16.22.55;;;;;;;;;;;OVM;OVM;Virtuel;;;;TST;ORACLE;;
;VPLEX-WITNESS;SRVP0269;Serveur Virtuel;172.16.21.134;Linux Suse 11 entreprise  (64b);;172.18.4.16;;;;;;;;;;;VMWARE;SECU;Virtuel;;NA;Non;PRD;;;infra stockage
AVAMARCD72-PROXY-01-DMZ;AVAMARCD72-PROXY-01-DMZ;SRVP0001;Serveur Virtuel;Proxy sauvegarde avamar;Linux Suse 11 entreprise SP1 EMC (64b);DMZ;192.168.222.1;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;à créer;AVAMAR
srv-prd-esrs;SRV-PRD-ESRS;SRVP0011;Serveur Virtuel;Console admin et support EMC;Linux Suse 11 entreprise SP1 EMC (64b);DMZ;192.168.222.6;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;;EMC
AVAMARCD72-PROXY-01;AVAMARCD72-PROXY-01;SRVP0102;Serveur Virtuel;Proxy sauvegarde avamar;Linux Suse 11 entreprise SP1 EMC (64b);VLAN72 SI;172.16.25.161;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;a créer;AVAMAR
AVAMARCD72-PROXY-02;AVAMARCD72-PROXY-02;SRVP0103;Serveur Virtuel;Proxy sauvegarde avamar;Linux Suse 11 entreprise SP1 EMC (64b);VLAN72 SI;172.16.25.162;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;a créer;AVAMAR
srv-expe1;SRV-EXPE1;SRVP0246;Serveur Virtuel;TOIP;Autre (32 bits);DMZ;192.168.222.71;;;;;;;;;;;VMWARE;TOIP;Virtuel;;NA;Oui;PRD;;à créer;à rattacher à Cisco? À créer
AVAMARCD72-PROXY-03;AVAMARCD72-PROXY-03;SRVP0104;Serveur Virtuel;Proxy sauvegarde avamar;Linux Suse 11 entreprise SP1 EMC (64b);VLAN72 SI;172.16.25.163;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;a créer;AVAMAR
srv-inatd1[c];SRV-INATD1[C];SRVP0248;Serveur Virtuel;TOIP;Microsoft Windows Server 2012 R2 (64b);;172.29.1.220;;;;;;;;;;;VMWARE;TOIP;Virtuel;;NA;Oui;PRD;;à créer;à rattacher à Cisco? À créer
AVAMARCD72-PROXY-04;AVAMARCD72-PROXY-04;SRVP0105;Serveur Virtuel;Proxy sauvegarde avamar;Linux Suse 11 entreprise SP1 EMC (64b);VLAN72 SI;172.16.25.164;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;a créer;AVAMAR
AVAMARCD72-PROXY-05;AVAMARCD72-PROXY-05;SRVP0106;Serveur Virtuel;Proxy sauvegarde avamar;Linux Suse 11 entreprise SP1 EMC (64b);VLAN72 SI;172.16.25.165;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;a créer;AVAMAR
srv-teladm1;SRV-TELADM1;SRVP0251;Serveur Virtuel;TOIP;Microsoft Windows Server 2012 R2 (64b);;172.29.1.228;;;;;;;;;;;VMWARE;TOIP;Virtuel;;NA;Oui;PRD;;à créer;à rattacher à Cisco? À créer
srv-xmed1;SRV-XMED1;SRVP0252;Serveur Virtuel;TOIP;Microsoft Windows Server 2012 R2 (64b);;172.29.1.222;;;;;;;;;;;VMWARE;TOIP;Virtuel;;NA;Oui;PRD;;à créer;à rattacher à Cisco? À créer
AVAMARCD72-PROXY-06;AVAMARCD72-PROXY-06;SRVP0107;Serveur Virtuel;Proxy sauvegarde avamar;Linux Suse 11 entreprise SP1 EMC (64b);VLAN72 SI;172.16.25.166;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;a créer;AVAMAR
srv-prd-suitejeton;SRV-PRD-SUITEJETON;SRVP0212;Serveur Virtuel;Interface d'échange entre le SI MDPH SOLIS et la CNAF;Linux Suse 11 entreprise SP1 EMC (64b);VLAN72 SI;172.16.20.95;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL309;SUITE JETON
sta1809 cible;STA1809 CIBLE;SRVP0255;Serveur Virtuel;;Microsoft Windows 10 (64b);;172.18.4.2;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;N/A;TST;;;
;SRV-PRD-PLANO4;SRVP0256;Serveur Virtuel;BDD oracle dédié Planoteam;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.86;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Non;PRD;;APPL125;PLANOTEAM
